Name	Purchesing/Repairment	Arrival Time	ElectricVehicle	Model	MaxSpeed	Weight	IsClosing
Klara	purchesing	0	Scooter				
Sybyl	repairment	0	Bike	GD321	35	15	1
Tobye	purchesing	0	Scooter				
Kelbee	repairment	1	Bike	MD322	40	16	1
Karyn	purchesing	0	Scooter				
Romeo	repairment	1	Bike	JR323	40	18	1
Emmet	purchesing	1	Scooter				
Annmarie	repairment	0	Bike	WE324	36	17	1
Lari	purchesing	1	Bike				
Karylin	repairment	1	Bike	LR525	40	13	0
Ethe	purchesing	2	Bike				
Lenee	purchesing	3	Bike				
Modestia	purchesing	4	Bike				
Decca	purchesing	1	Scooter				
Dilly	repairment	0	Scooter	AR237	37	13	0
Hall	repairment	0	Scooter	NF342	32	17	0
Gaby	repairment	3	Scooter	DK249	31	14	0
Suzette	purchesing	3	Scooter				
Ambrosio	repairment	5	Scooter	MD324	40	16	0
Benedicto	purchesing	5	Bike				
Stoddard	repairment	1	Scooter	NF343	31	17	0
Sylvia	purchesing	1	Bike				
Abey	purchesing	1	Bike				
Torey	purchesing	1	Bike				
Celestyna	purchesing	0	Scooter				
Clary	repairment	1	Bike	NF344	38	18	1
Maxy	repairment	1	Scooter	AR235	33	18	0
Phip	repairment	1	Bike	GD322	39	15	1
Cristian	purchesing	0	Scooter				
Roldan	repairment	1	Bike	DR322	38	17	1
Garvy	purchesing	5	Scooter				
Kermy	repairment	5	Bike	WE324	36	14	1
Jeannie	purchesing	7	Scooter				
Rachel	repairment	7	Bike	WQ453	34	16	1
Drusie	purchesing	6	Scooter				
Hewe	purchesing	6	Bike				
Leandra	repairment	5	Scooter	GH234	35	15	0
Whit	purchesing	6	Bike				
Tani	repairment	7	Scooter	KU789	31	15	0
Brianne	purchesing	6	Bike				
Karee	repairment	5	Scooter	HY657	35	15	0
Linn	purchesing	5	Bike				
Jessee	repairment	5	Bike	HG435	33	18	1
Eolande	purchesing	6	Bike				
Anselm	repairment	7	Bike	JF984	38	14	1
Brig	purchesing	8	Bike				
Marie	purchesing	10	Bike				
Jon	purchesing	9	Scooter				
Tedi	purchesing	10	Scooter				
Chaddy	repairment	9	Scooter	KF983	36	16	0
Beverie	repairment	10	Scooter	FC545	31	17	0
Merola	repairment	9	Scooter	FW232	30	14	0
Roma	purchesing	10	Bike				
Tremain	repairment	4	Bike	SW232	37	16	1
Quintus	purchesing	5	Bike				
Lacey	repairment	11	Bike	AR236	34	16	1
Deanna	purchesing	12	Bike				
Guido	purchesing	13	Bike				
Darsey	purchesing	15	Scooter				
Vivyan	purchesing	13	Scooter				
Kimberly	repairment	11	Scooter	WE325	36	16	0
Eddie	repairment	10	Scooter	AE144	31	18	0
Eugene	repairment	9	Scooter	LR526	37	14	0
Kingsley	purchesing	6	Scooter				
